-,Item Description,Pen Type,Need Date,Needed Qty,Yield,Cost ($),Lead Time (d),Build Qty,Build Cost
20001,Fine Point Pen,Fine Point Pen,45658,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45689,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45717,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45748,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45778,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45809,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45839,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45870,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45901,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45931,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45962,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,45992,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46023,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46054,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46082,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46113,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46143,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46174,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46204,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46235,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46266,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46296,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46327,50,95,1,5,52.5,52.5
20001,Fine Point Pen,Fine Point Pen,46357,50,95,1,5,52.5,52.5
30001,Medium Point Pen,Medium Point Pen,45658,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45689,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45717,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45748,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45778,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45809,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45839,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45870,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45901,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45931,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45962,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,45992,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46023,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46054,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46082,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46113,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46143,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46174,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46204,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46235,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46266,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46296,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46327,150,95,1.2,5,157.5,189
30001,Medium Point Pen,Medium Point Pen,46357,150,95,1.2,5,157.5,189
40001,Bold Point Pen,Bold Point Pen,45658,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45689,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45717,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45748,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45778,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45809,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45839,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45870,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45901,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45931,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45962,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,45992,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46023,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46054,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46082,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46113,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46143,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46174,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46204,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46235,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46266,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46296,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46327,75,95,1.5,5,78.75,118.125
40001,Bold Point Pen,Bold Point Pen,46357,75,95,1.5,5,78.75,118.125
10001,Spring,Fine Point Pen,45653,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45684,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45712,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45743,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45773,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45804,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45834,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45865,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45896,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45926,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45957,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,45987,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46018,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46049,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46077,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46108,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46138,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46169,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46199,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46230,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46261,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46291,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46322,50,90,0.5,7,55,27.5
10001,Spring,Fine Point Pen,46352,50,90,0.5,7,55,27.5
10001,Spring,Medium Point Pen,45653,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45684,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45712,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45743,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45773,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45804,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45834,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45865,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45896,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45926,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45957,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,45987,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46018,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46049,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46077,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46108,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46138,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46169,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46199,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46230,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46261,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46291,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46322,150,90,0.5,7,165,82.5
10001,Spring,Medium Point Pen,46352,150,90,0.5,7,165,82.5
10001,Spring,Bold Point Pen,45653,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45684,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45712,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45743,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45773,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45804,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45834,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45865,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45896,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45926,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45957,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,45987,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46018,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46049,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46077,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46108,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46138,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46169,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46199,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46230,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46261,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46291,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46322,75,90,0.5,7,82.5,41.25
10001,Spring,Bold Point Pen,46352,75,90,0.5,7,82.5,41.25
10002,Clip,Fine Point Pen,45653,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45684,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45712,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45743,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45773,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45804,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45834,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45865,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45896,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45926,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45957,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,45987,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46018,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46049,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46077,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46108,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46138,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46169,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46199,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46230,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46261,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46291,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46322,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46352,50,85,0.3,7,57.5,17.25
10002,Clip,Medium Point Pen,45653,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45684,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45712,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45743,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45773,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45804,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45834,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45865,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45896,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45926,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45957,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45987,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46018,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46049,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46077,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46108,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46138,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46169,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46199,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46230,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46261,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46291,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46322,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46352,150,85,0.3,7,172.5,51.75
10002,Clip,Bold Point Pen,45653,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45684,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45712,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45743,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45773,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45804,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45834,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45865,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45896,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45926,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45957,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45987,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46018,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46049,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46077,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46108,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46138,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46169,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46199,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46230,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46261,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46291,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46322,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46352,75,85,0.3,7,86.25,25.875
10004,Tip,Fine Point Pen,45653,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45684,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45712,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45743,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45773,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45804,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45834,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45865,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45896,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45926,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45957,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45987,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46018,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46049,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46077,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46108,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46138,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46169,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46199,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46230,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46261,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46291,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46322,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46352,50,90,0.6,7,55,33
10004,Tip,Medium Point Pen,45653,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45684,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45712,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45743,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45773,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45804,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45834,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45865,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45896,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45926,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45957,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45987,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46018,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46049,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46077,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46108,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46138,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46169,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46199,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46230,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46261,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46291,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46322,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46352,150,90,0.6,7,165,99
10004,Tip,Bold Point Pen,45653,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45684,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45712,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45743,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45773,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45804,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45834,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45865,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45896,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45926,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45957,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45987,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46018,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46049,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46077,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46108,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46138,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46169,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46199,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46230,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46261,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46291,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46322,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46352,75,90,0.6,7,82.5,49.5
10003,Thrust Device,Fine Point Pen,45653,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45684,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45712,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45743,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45773,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45804,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45834,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45865,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45896,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45926,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45957,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45987,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46018,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46049,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46077,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46108,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46138,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46169,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46199,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46230,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46261,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46291,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46322,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46352,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Medium Point Pen,45653,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45684,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45712,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45743,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45773,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45804,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45834,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45865,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45896,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45926,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45957,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45987,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46018,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46049,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46077,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46108,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46138,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46169,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46199,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46230,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46261,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46291,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46322,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46352,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Bold Point Pen,45653,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45684,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45712,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45743,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45773,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45804,75,85,2.5,10,86.25,215.625
